ID	Locale	Value	"Scientific Notation"
0	af_ZA	1E3	true
1	af_ZA	1 000	false
2	af_ZA	-2E3	true
3	af_ZA	-2 000	false
4	af_ZA	3,98E2	true
5	af_ZA	398	false
6	af_ZA	4E-2	true
7	af_ZA	0,04	false
8	af_ZA	-5E-1	true
9	af_ZA	-0,5	false
10	af_ZA	6E-1	true
11	af_ZA	0,6	false
12	af_ZA	-7E-1	true
13	af_ZA	-0,7	false
14	af_ZA	8E10	true
15	af_ZA	80 000 000 000	false
16	af_ZA	-9,3456E-2	true
17	af_ZA	-0,093	false
18	af_ZA	1,023E7	true
19	af_ZA	10 230 000	false
20	af_ZA	1,23123456789099E2	true
21	af_ZA	123,123	false
22	am_ET	1E3	true
23	am_ET	1,000	false
24	am_ET	-2E3	true
25	am_ET	-2,000	false
26	am_ET	3.98E2	true
27	am_ET	398	false
28	am_ET	4E-2	true
29	am_ET	0.04	false
30	am_ET	-5E-1	true
31	am_ET	-0.5	false
32	am_ET	6E-1	true
33	am_ET	0.6	false
34	am_ET	-7E-1	true
35	am_ET	-0.7	false
36	am_ET	8E10	true
37	am_ET	80,000,000,000	false
38	am_ET	-9.3456E-2	true
39	am_ET	-0.093	false
40	am_ET	1.023E7	true
41	am_ET	10,230,000	false
42	am_ET	1.23123456789099E2	true
43	am_ET	123.123	false
44	ar_AE	١اس٣	true
45	ar_AE	١٬٠٠٠	false
46	ar_AE	‏-٢اس٣	true
47	ar_AE	‏-٢٬٠٠٠	false
48	ar_AE	٣٫٩٨اس٢	true
49	ar_AE	٣٩٨	false
50	ar_AE	٤اس‏-٢	true
51	ar_AE	٠٫٠٤	false
52	ar_AE	‏-٥اس‏-١	true
53	ar_AE	‏-٠٫٥	false
54	ar_AE	٦اس‏-١	true
55	ar_AE	٠٫٦	false
56	ar_AE	‏-٧اس‏-١	true
57	ar_AE	‏-٠٫٧	false
58	ar_AE	٨اس١٠	true
59	ar_AE	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
60	ar_AE	‏-٩٫٣٤٥٦اس‏-٢	true
61	ar_AE	‏-٠٫٠٩٣	false
62	ar_AE	١٫٠٢٣اس٧	true
63	ar_AE	١٠٬٢٣٠٬٠٠٠	false
64	ar_AE	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
65	ar_AE	١٢٣٫١٢٣	false
66	ar_BH	١اس٣	true
67	ar_BH	١٬٠٠٠	false
68	ar_BH	‏-٢اس٣	true
69	ar_BH	‏-٢٬٠٠٠	false
70	ar_BH	٣٫٩٨اس٢	true
71	ar_BH	٣٩٨	false
72	ar_BH	٤اس‏-٢	true
73	ar_BH	٠٫٠٤	false
74	ar_BH	‏-٥اس‏-١	true
75	ar_BH	‏-٠٫٥	false
76	ar_BH	٦اس‏-١	true
77	ar_BH	٠٫٦	false
78	ar_BH	‏-٧اس‏-١	true
79	ar_BH	‏-٠٫٧	false
80	ar_BH	٨اس١٠	true
81	ar_BH	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
82	ar_BH	‏-٩٫٣٤٥٦اس‏-٢	true
83	ar_BH	‏-٠٫٠٩٣	false
84	ar_BH	١٫٠٢٣اس٧	true
85	ar_BH	١٠٬٢٣٠٬٠٠٠	false
86	ar_BH	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
87	ar_BH	١٢٣٫١٢٣	false
88	ar_DZ	1E3	true
89	ar_DZ	1.000	false
90	ar_DZ	‎-2E3	true
91	ar_DZ	‎-2.000	false
92	ar_DZ	3,98E2	true
93	ar_DZ	398	false
94	ar_DZ	4E‎-2	true
95	ar_DZ	0,04	false
96	ar_DZ	‎-5E‎-1	true
97	ar_DZ	‎-0,5	false
98	ar_DZ	6E‎-1	true
99	ar_DZ	0,6	false
100	ar_DZ	‎-7E‎-1	true
101	ar_DZ	‎-0,7	false
102	ar_DZ	8E10	true
103	ar_DZ	80.000.000.000	false
104	ar_DZ	‎-9,3456E‎-2	true
105	ar_DZ	‎-0,093	false
106	ar_DZ	1,023E7	true
107	ar_DZ	10.230.000	false
108	ar_DZ	1,23123456789099E2	true
109	ar_DZ	123,123	false
110	ar_EG	١اس٣	true
111	ar_EG	١٬٠٠٠	false
112	ar_EG	‏-٢اس٣	true
113	ar_EG	‏-٢٬٠٠٠	false
114	ar_EG	٣٫٩٨اس٢	true
115	ar_EG	٣٩٨	false
116	ar_EG	٤اس‏-٢	true
117	ar_EG	٠٫٠٤	false
118	ar_EG	‏-٥اس‏-١	true
119	ar_EG	‏-٠٫٥	false
120	ar_EG	٦اس‏-١	true
121	ar_EG	٠٫٦	false
122	ar_EG	‏-٧اس‏-١	true
123	ar_EG	‏-٠٫٧	false
124	ar_EG	٨اس١٠	true
125	ar_EG	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
126	ar_EG	‏-٩٫٣٤٥٦اس‏-٢	true
127	ar_EG	‏-٠٫٠٩٣	false
128	ar_EG	١٫٠٢٣اس٧	true
129	ar_EG	١٠٬٢٣٠٬٠٠٠	false
130	ar_EG	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
131	ar_EG	١٢٣٫١٢٣	false
132	ar_IQ	١اس٣	true
133	ar_IQ	١٬٠٠٠	false
134	ar_IQ	‏-٢اس٣	true
135	ar_IQ	‏-٢٬٠٠٠	false
136	ar_IQ	٣٫٩٨اس٢	true
137	ar_IQ	٣٩٨	false
138	ar_IQ	٤اس‏-٢	true
139	ar_IQ	٠٫٠٤	false
140	ar_IQ	‏-٥اس‏-١	true
141	ar_IQ	‏-٠٫٥	false
142	ar_IQ	٦اس‏-١	true
143	ar_IQ	٠٫٦	false
144	ar_IQ	‏-٧اس‏-١	true
145	ar_IQ	‏-٠٫٧	false
146	ar_IQ	٨اس١٠	true
147	ar_IQ	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
148	ar_IQ	‏-٩٫٣٤٥٦اس‏-٢	true
149	ar_IQ	‏-٠٫٠٩٣	false
150	ar_IQ	١٫٠٢٣اس٧	true
151	ar_IQ	١٠٬٢٣٠٬٠٠٠	false
152	ar_IQ	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
153	ar_IQ	١٢٣٫١٢٣	false
154	ar_JO	١اس٣	true
155	ar_JO	١٬٠٠٠	false
156	ar_JO	‏-٢اس٣	true
157	ar_JO	‏-٢٬٠٠٠	false
158	ar_JO	٣٫٩٨اس٢	true
159	ar_JO	٣٩٨	false
160	ar_JO	٤اس‏-٢	true
161	ar_JO	٠٫٠٤	false
162	ar_JO	‏-٥اس‏-١	true
163	ar_JO	‏-٠٫٥	false
164	ar_JO	٦اس‏-١	true
165	ar_JO	٠٫٦	false
166	ar_JO	‏-٧اس‏-١	true
167	ar_JO	‏-٠٫٧	false
168	ar_JO	٨اس١٠	true
169	ar_JO	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
170	ar_JO	‏-٩٫٣٤٥٦اس‏-٢	true
171	ar_JO	‏-٠٫٠٩٣	false
172	ar_JO	١٫٠٢٣اس٧	true
173	ar_JO	١٠٬٢٣٠٬٠٠٠	false
174	ar_JO	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
175	ar_JO	١٢٣٫١٢٣	false
176	ar_KW	١اس٣	true
177	ar_KW	١٬٠٠٠	false
178	ar_KW	‏-٢اس٣	true
179	ar_KW	‏-٢٬٠٠٠	false
180	ar_KW	٣٫٩٨اس٢	true
181	ar_KW	٣٩٨	false
182	ar_KW	٤اس‏-٢	true
183	ar_KW	٠٫٠٤	false
184	ar_KW	‏-٥اس‏-١	true
185	ar_KW	‏-٠٫٥	false
186	ar_KW	٦اس‏-١	true
187	ar_KW	٠٫٦	false
188	ar_KW	‏-٧اس‏-١	true
189	ar_KW	‏-٠٫٧	false
190	ar_KW	٨اس١٠	true
191	ar_KW	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
192	ar_KW	‏-٩٫٣٤٥٦اس‏-٢	true
193	ar_KW	‏-٠٫٠٩٣	false
194	ar_KW	١٫٠٢٣اس٧	true
195	ar_KW	١٠٬٢٣٠٬٠٠٠	false
196	ar_KW	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
197	ar_KW	١٢٣٫١٢٣	false
198	ar_LB	١اس٣	true
199	ar_LB	١٬٠٠٠	false
200	ar_LB	‏-٢اس٣	true
201	ar_LB	‏-٢٬٠٠٠	false
202	ar_LB	٣٫٩٨اس٢	true
203	ar_LB	٣٩٨	false
204	ar_LB	٤اس‏-٢	true
205	ar_LB	٠٫٠٤	false
206	ar_LB	‏-٥اس‏-١	true
207	ar_LB	‏-٠٫٥	false
208	ar_LB	٦اس‏-١	true
209	ar_LB	٠٫٦	false
210	ar_LB	‏-٧اس‏-١	true
211	ar_LB	‏-٠٫٧	false
212	ar_LB	٨اس١٠	true
213	ar_LB	٨٠٬٠٠٠٬٠٠٠٬٠٠٠	false
214	ar_LB	‏-٩٫٣٤٥٦اس‏-٢	true
215	ar_LB	‏-٠٫٠٩٣	false
216	ar_LB	١٫٠٢٣اس٧	true
217	ar_LB	١٠٬٢٣٠٬٠٠٠	false
218	ar_LB	١٫٢٣١٢٣٤٥٦٧٨٩٠٩٩اس٢	true
219	ar_LB	١٢٣٫١٢٣	false
220	ar_LY	1E3	true
221	ar_LY	1.000	false
222	ar_LY	‎-2E3	true
223	ar_LY	‎-2.000	false
224	ar_LY	3,98E2	true
225	ar_LY	398	false
226	ar_LY	4E‎-2	true
227	ar_LY	0,04	false
228	ar_LY	‎-5E‎-1	true
229	ar_LY	‎-0,5	false
230	ar_LY	6E‎-1	true
231	ar_LY	0,6	false
232	ar_LY	‎-7E‎-1	true
233	ar_LY	‎-0,7	false
234	ar_LY	8E10	true
235	ar_LY	80.000.000.000	false
236	ar_LY	‎-9,3456E‎-2	true
237	ar_LY	‎-0,093	false
238	ar_LY	1,023E7	true
239	ar_LY	10.230.000	false
240	ar_LY	1,23123456789099E2	true
241	ar_LY	123,123	false
242	ar_MA	1E3	true
243	ar_MA	1.000	false
244	ar_MA	‎-2E3	true
245	ar_MA	‎-2.000	false
246	ar_MA	3,98E2	true
247	ar_MA	398	false
248	ar_MA	4E‎-2	true
249	ar_MA	0,04	false
250	ar_MA	‎-5E‎-1	true
251	ar_MA	‎-0,5	false
252	ar_MA	6E‎-1	true
253	ar_MA	0,6	false
254	ar_MA	‎-7E‎-1	true
255	ar_MA	‎-0,7	false
256	ar_MA	8E10	true
257	ar_MA	80.000.000.000	false
258	ar_MA	‎-9,3456E‎-2	true
259	ar_MA	‎-0,093	false
260	ar_MA	1,023E7	true
261	ar_MA	10.230.000	false
262	ar_MA	1,23123456789099E2	true
263	ar_MA	123,123	false
