ID	Locale	"Fraction digits check"	"Currency symbol check"	Currency	"Uncurrency filter result"	Filtered
0	af_ZA	Y	Y	R0,00	0	Y
1	af_ZA	Y	Y	ZAR0,00	0	Y
2	af_ZA	Y	Y	ZAR0,00S	ZAR0,00S	N
3	af_ZA	Y	Y	0,00	0,00	N
4	af_ZA	Y	N	0,00	0	Y
5	af_ZA	Y	Y	0E0	0E0	N
6	af_ZA	Y	N	0E0	0E0	N
7	af_ZA	Y	Y	R0E0	R0E0	N
8	af_ZA	Y	N	R0E0	R0E0	N
9	af_ZA	Y	Y	R0,1	R0,1	N
10	af_ZA	Y	N	R0,1	R0,1	N
11	af_ZA	N	N	R0,1	0.1	Y
12	af_ZA	N	Y	R0,1	0.1	Y
13	af_ZA	Y	Y	0,1	0,1	N
14	af_ZA	Y	N	0,1	0,1	N
15	af_ZA	N	N	0,1	0.1	Y
16	af_ZA	N	Y	0,1	0,1	N
17	af_ZA	Y	Y	R0,100	R0,100	N
18	af_ZA	Y	N	R0,100	R0,100	N
19	af_ZA	N	N	R0,100	0.1	Y
20	af_ZA	N	Y	R0,100	0.1	Y
21	af_ZA	Y	Y	0,100	0,100	N
22	af_ZA	Y	N	0,100	0,100	N
23	af_ZA	N	N	0,100	0.1	Y
24	af_ZA	N	Y	0,100	0,100	N
25	af_ZA	Y	Y	R0,10	0.1	Y
26	af_ZA	Y	Y	ZAR0,10	0.1	Y
27	af_ZA	Y	Y	ZAR0,10S	ZAR0,10S	N
28	af_ZA	Y	Y	0,10	0,10	N
29	af_ZA	Y	N	0,10	0.1	Y
30	af_ZA	Y	Y	1E-1	1E-1	N
31	af_ZA	Y	N	1E-1	1E-1	N
32	af_ZA	Y	Y	R1E-1	R1E-1	N
33	af_ZA	Y	N	R1E-1	R1E-1	N
34	af_ZA	Y	Y	R0,0	R0,0	N
35	af_ZA	Y	N	R0,0	R0,0	N
36	af_ZA	N	N	R0,0	0	Y
37	af_ZA	N	Y	R0,0	0	Y
38	af_ZA	Y	Y	0,0	0,0	N
39	af_ZA	Y	N	0,0	0,0	N
40	af_ZA	N	N	0,0	0	Y
41	af_ZA	N	Y	0,0	0,0	N
42	af_ZA	Y	Y	R0,010	R0,010	N
43	af_ZA	Y	N	R0,010	R0,010	N
44	af_ZA	N	N	R0,010	0.01	Y
45	af_ZA	N	Y	R0,010	0.01	Y
46	af_ZA	Y	Y	0,010	0,010	N
47	af_ZA	Y	N	0,010	0,010	N
48	af_ZA	N	N	0,010	0.01	Y
49	af_ZA	N	Y	0,010	0,010	N
50	af_ZA	Y	Y	R0,01	0.01	Y
51	af_ZA	Y	Y	ZAR0,01	0.01	Y
52	af_ZA	Y	Y	ZAR0,01S	ZAR0,01S	N
53	af_ZA	Y	Y	0,01	0,01	N
54	af_ZA	Y	N	0,01	0.01	Y
55	af_ZA	Y	Y	1E-2	1E-2	N
56	af_ZA	Y	N	1E-2	1E-2	N
57	af_ZA	Y	Y	R1E-2	R1E-2	N
58	af_ZA	Y	N	R1E-2	R1E-2	N
59	af_ZA	Y	Y	R1 000,00	1000	Y
60	af_ZA	Y	Y	R1000,00	1000	Y
61	af_ZA	Y	Y	ZAR1 000,00	1000	Y
62	af_ZA	Y	Y	ZAR1000,00	1000	Y
63	af_ZA	Y	Y	ZAR1000,00S	ZAR1000,00S	N
64	af_ZA	Y	Y	1 000,00	1 000,00	N
65	af_ZA	Y	N	1 000,00	1000	Y
66	af_ZA	Y	Y	1E3	1E3	N
67	af_ZA	Y	N	1E3	1E3	N
68	af_ZA	Y	Y	R1E3	R1E3	N
69	af_ZA	Y	N	R1E3	R1E3	N
70	af_ZA	Y	Y	R1 234,6	R1 234,6	N
71	af_ZA	Y	N	R1 234,6	R1 234,6	N
72	af_ZA	N	N	R1 234,6	1234.6	Y
73	af_ZA	N	Y	R1 234,6	1234.6	Y
74	af_ZA	Y	Y	1 234,6	1 234,6	N
75	af_ZA	Y	N	1 234,6	1 234,6	N
76	af_ZA	N	N	1 234,6	1234.6	Y
77	af_ZA	N	Y	1 234,6	1 234,6	N
78	af_ZA	Y	Y	R1 234,610	R1 234,610	N
79	af_ZA	Y	N	R1 234,610	R1 234,610	N
80	af_ZA	N	N	R1 234,610	1234.61	Y
81	af_ZA	N	Y	R1 234,610	1234.61	Y
82	af_ZA	Y	Y	1 234,610	1 234,610	N
83	af_ZA	Y	N	1 234,610	1 234,610	N
84	af_ZA	N	N	1 234,610	1234.61	Y
85	af_ZA	N	Y	1 234,610	1 234,610	N
86	af_ZA	Y	Y	R1 234,61	1234.61	Y
87	af_ZA	Y	Y	R1234,61	1234.61	Y
88	af_ZA	Y	Y	ZAR1 234,61	1234.61	Y
89	af_ZA	Y	Y	ZAR1234,61	1234.61	Y
90	af_ZA	Y	Y	ZAR1234,61S	ZAR1234,61S	N
91	af_ZA	Y	Y	1 234,61	1 234,61	N
92	af_ZA	Y	N	1 234,61	1234.61	Y
93	af_ZA	Y	Y	1,23461E3	1,23461E3	N
94	af_ZA	Y	N	1,23461E3	1,23461E3	N
95	af_ZA	Y	Y	R1,23461E3	R1,23461E3	N
96	af_ZA	Y	N	R1,23461E3	R1,23461E3	N
97	af_ZA	Y	Y	R12 345 678,9	R12 345 678,9	N
98	af_ZA	Y	N	R12 345 678,9	R12 345 678,9	N
99	af_ZA	N	N	R12 345 678,9	12345678.9	Y
100	af_ZA	N	Y	R12 345 678,9	12345678.9	Y
101	af_ZA	Y	Y	12 345 678,9	12 345 678,9	N
102	af_ZA	Y	N	12 345 678,9	12 345 678,9	N
103	af_ZA	N	N	12 345 678,9	12345678.9	Y
104	af_ZA	N	Y	12 345 678,9	12 345 678,9	N
105	af_ZA	Y	Y	R12 345 678,900	R12 345 678,900	N
106	af_ZA	Y	N	R12 345 678,900	R12 345 678,900	N
107	af_ZA	N	N	R12 345 678,900	12345678.9	Y
108	af_ZA	N	Y	R12 345 678,900	12345678.9	Y
109	af_ZA	Y	Y	12 345 678,900	12 345 678,900	N
110	af_ZA	Y	N	12 345 678,900	12 345 678,900	N
111	af_ZA	N	N	12 345 678,900	12345678.9	Y
112	af_ZA	N	Y	12 345 678,900	12 345 678,900	N
113	af_ZA	Y	Y	R12 345 678,90	12345678.9	Y
114	af_ZA	Y	Y	R12345678,90	12345678.9	Y
115	af_ZA	Y	Y	ZAR12 345 678,90	12345678.9	Y
116	af_ZA	Y	Y	ZAR12345678,90	12345678.9	Y
117	af_ZA	Y	Y	ZAR12345678,90S	ZAR12345678,90S	N
118	af_ZA	Y	Y	12 345 678,90	12 345 678,90	N
119	af_ZA	Y	N	12 345 678,90	12345678.9	Y
120	af_ZA	Y	Y	1,23456789E7	1,23456789E7	N
121	af_ZA	Y	N	1,23456789E7	1,23456789E7	N
122	af_ZA	Y	Y	R1,23456789E7	R1,23456789E7	N
123	af_ZA	Y	N	R1,23456789E7	R1,23456789E7	N
124	af_ZA	Y	Y	-R0,1	-R0,1	N
125	af_ZA	Y	N	-R0,1	-R0,1	N
126	af_ZA	N	N	-R0,1	-0.1	Y
127	af_ZA	N	Y	-R0,1	-0.1	Y
128	af_ZA	Y	Y	-0,1	-0,1	N
129	af_ZA	Y	N	-0,1	-0,1	N
130	af_ZA	N	N	-0,1	-0.1	Y
131	af_ZA	N	Y	-0,1	-0,1	N
132	af_ZA	Y	Y	-R0,100	-R0,100	N
133	af_ZA	Y	N	-R0,100	-R0,100	N
134	af_ZA	N	N	-R0,100	-0.1	Y
135	af_ZA	N	Y	-R0,100	-0.1	Y
136	af_ZA	Y	Y	-0,100	-0,100	N
137	af_ZA	Y	N	-0,100	-0,100	N
138	af_ZA	N	N	-0,100	-0.1	Y
139	af_ZA	N	Y	-0,100	-0,100	N
140	af_ZA	Y	Y	-R0,10	-0.1	Y
141	af_ZA	Y	Y	-ZAR0,10	-0.1	Y
142	af_ZA	Y	Y	-ZAR0,10S	-ZAR0,10S	N
143	af_ZA	Y	Y	-0,10	-0,10	N
144	af_ZA	Y	N	-0,10	-0.1	Y
145	af_ZA	Y	Y	-R1E-1	-R1E-1	N
146	af_ZA	Y	N	-R1E-1	-R1E-1	N
147	af_ZA	Y	Y	-R0,0	-R0,0	N
148	af_ZA	Y	N	-R0,0	-R0,0	N
149	af_ZA	N	N	-R0,0	-0	Y
150	af_ZA	N	Y	-R0,0	-0	Y
151	af_ZA	Y	Y	-0,0	-0,0	N
152	af_ZA	Y	N	-0,0	-0,0	N
153	af_ZA	N	N	-0,0	-0	Y
154	af_ZA	N	Y	-0,0	-0,0	N
155	af_ZA	Y	Y	-R0,010	-R0,010	N
156	af_ZA	Y	N	-R0,010	-R0,010	N
157	af_ZA	N	N	-R0,010	-0.01	Y
